Date,Cases,Hospitalizations,Deaths
2022-12-14,2161,170,19
2022-12-15,2087,182,19
2022-12-16,2048,201,19
2022-12-17,1351,184,30
2022-12-18,1337,146,29
2022-12-19,2517,143,33
2022-12-20,2168,162,32
2022-12-21,2082,189,23
2022-12-22,1926,160,25
2022-12-23,1100,173,29
2022-12-24,1012,139,16
2022-12-25,765,152,28
2022-12-26,1555,120,25
2022-12-27,2025,169,35
2022-12-28,1832,162,22
2022-12-29,1633,166,35
2022-12-30,1478,186,33
